39575	d.68.2.2	d1a2na_	1a2n	A	[]	PF00275
29255	c.1.12.1	d1a49a2	1a49	A	['12-115', '218-395']	PF00224
33109	c.49.1.1	d1a49a3	1a49	A	['396-530']	PF00224
27027	b.58.1.1	d1a49b1	1a49	B	['716-817']	PF00224
29256	c.1.12.1	d1a49b2	1a49	B	['612-715', '818-995']	PF00224
33110	c.49.1.1	d1a49b3	1a49	B	['996-1130']	PF00224
27028	b.58.1.1	d1a49c1	1a49	C	['1316-1417']	PF00224
29257	c.1.12.1	d1a49c2	1a49	C	['1212-1315', '1418-1595']	PF00224
33111	c.49.1.1	d1a49c3	1a49	C	['1596-1730']	PF00224
27029	b.58.1.1	d1a49d1	1a49	D	['1916-2017']	PF00224
29258	c.1.12.1	d1a49d2	1a49	D	['1812-1915', '2018-2195']	PF00224
33112	c.49.1.1	d1a49d3	1a49	D	['2196-2330']	PF00224
27030	b.58.1.1	d1a49e1	1a49	E	['3116-3217']	PF00224
29259	c.1.12.1	d1a49e2	1a49	E	['3012-3115', '3218-3395']	PF00224
33113	c.49.1.1	d1a49e3	1a49	E	['3396-3530']	PF00224
27031	b.58.1.1	d1a49f1	1a49	F	['3716-3817']	PF00224
29260	c.1.12.1	d1a49f2	1a49	F	['3612-3715', '3818-3995']	PF00224
33114	c.49.1.1	d1a49f3	1a49	F	['3996-4130']	PF00224
27032	b.58.1.1	d1a49g1	1a49	G	['4316-4417']	PF00224
29261	c.1.12.1	d1a49g2	1a49	G	['4212-4315', '4418-4595']	PF00224
33115	c.49.1.1	d1a49g3	1a49	G	['4596-4730']	PF00224
27033	b.58.1.1	d1a49h1	1a49	H	['4916-5017']	PF00224
29262	c.1.12.1	d1a49h2	1a49	H	['4812-4915', '5018-5195']	PF00224
33116	c.49.1.1	d1a49h3	1a49	H	['5196-5330']	PF00224
22907	b.6.1.1	d1a4aa_	1a4a	A	[]	PF00127
22908	b.6.1.1	d1a4ab_	1a4a	B	[]	PF00127
22909	b.6.1.1	d1a4ba_	1a4b	A	[]	PF00127
22910	b.6.1.1	d1a4bb_	1a4b	B	[]	PF00127
22913	b.6.1.1	d1a4ca_	1a4c	A	[]	PF00127
22914	b.6.1.1	d1a4cb_	1a4c	B	[]	PF00127
22915	b.6.1.1	d1a4cc_	1a4c	C	[]	PF00127
22916	b.6.1.1	d1a4cd_	1a4c	D	[]	PF00127
15394	a.1.1.2	d1a4fa_	1a4f	A	[]	PF00042
15573	a.1.1.2	d1a4fb_	1a4f	B	[]	PF00042
27600	b.68.1.1	d1a4ga_	1a4g	A	[]	PF00064
27601	b.68.1.1	d1a4gb_	1a4g	B	[]	PF00064
41099	d.122.1.1	d1a4ha_	1a4h	A	[]	PF02518
30278	c.2.1.7	d1a4ia1	1a4i	A	['127-296']	PF00763
33926	c.58.1.2	d1a4ia2	1a4i	A	['2-126']	PF00763
30279	c.2.1.7	d1a4ib1	1a4i	B	['127-296']	PF00763
33927	c.58.1.2	d1a4ib2	1a4i	B	['2-126']	PF00763
20232	b.1.1.1	d1a4ja1	1a4j	A	['1-112']	PF07654
21244	b.1.1.2	d1a4ja2	1a4j	A	['113-217']	PF07654
20230	b.1.1.1	d1a4jl1	1a4j	L	['1-112']	PF07654
21242	b.1.1.2	d1a4jl2	1a4j	L	['113-217']	PF07654
20236	b.1.1.1	d1a4ka1	1a4k	A	['1-107']	PF07654
21248	b.1.1.2	d1a4ka2	1a4k	A	['108-211']	PF07654
20234	b.1.1.1	d1a4kl1	1a4k	L	['1-107']	PF07654
21246	b.1.1.2	d1a4kl2	1a4k	L	['108-212']	PF07654
29023	c.1.9.1	d1a4la_	1a4l	A	[]	PF00962
29024	c.1.9.1	d1a4lb_	1a4l	B	[]	PF00962
29025	c.1.9.1	d1a4lc_	1a4l	C	[]	PF00962
29026	c.1.9.1	d1a4ld_	1a4l	D	[]	PF00962
29014	c.1.9.1	d1a4ma_	1a4m	A	[]	PF00962
29015	c.1.9.1	d1a4mb_	1a4m	B	[]	PF00962
29016	c.1.9.1	d1a4mc_	1a4m	C	[]	PF00962
29017	c.1.9.1	d1a4md_	1a4m	D	[]	PF00962
19194	a.118.7.1	d1a4oa_	1a4o	A	[]	PF00244
19195	a.118.7.1	d1a4ob_	1a4o	B	[]	PF00244
19196	a.118.7.1	d1a4oc_	1a4o	C	[]	PF00244
19197	a.118.7.1	d1a4od_	1a4o	D	[]	PF00244
17176	a.39.1.2	d1a4pa_	1a4p	A	[]	PF01023
17177	a.39.1.2	d1a4pb_	1a4p	B	[]	PF01023
27595	b.68.1.1	d1a4qa_	1a4q	A	[]	PF00064
27596	b.68.1.1	d1a4qb_	1a4q	B	[]	PF00064
32063	c.37.1.8	d1a4ra_	1a4r	A	[]	PF00071
32064	c.37.1.8	d1a4rb_	1a4r	B	[]	PF00071
35361	c.82.1.1	d1a4sa_	1a4s	A	[]	PF00171
35362	c.82.1.1	d1a4sb_	1a4s	B	[]	PF00171
35363	c.82.1.1	d1a4sc_	1a4s	C	[]	PF00171
35364	c.82.1.1	d1a4sd_	1a4s	D	[]	PF00171
29878	c.2.1.2	d1a4ua_	1a4u	A	[]	PF00106
29879	c.2.1.2	d1a4ub_	1a4u	B	[]	PF00106
36599	d.2.1.2	d1a4va_	1a4v	A	[]	PF00062
34096	c.61.1.1	d1a4xa_	1a4x	A	[]	PF00156
34097	c.61.1.1	d1a4xb_	1a4x	B	[]	PF00156
30852	c.10.1.1	d1a4ya_	1a4y	A	[]	PF13516
37296	d.5.1.1	d1a4yb_	1a4y	B	[]	PF00074
30853	c.10.1.1	d1a4yd_	1a4y	D	[]	PF13516
37297	d.5.1.1	d1a4ye_	1a4y	E	[]	PF00074
35345	c.82.1.1	d1a4za_	1a4z	A	[]	PF00171
35346	c.82.1.1	d1a4zb_	1a4z	B	[]	PF00171
35347	c.82.1.1	d1a4zc_	1a4z	C	[]	PF00171
35348	c.82.1.1	d1a4zd_	1a4z	D	[]	PF00171
28580	c.1.2.4	d1a50a_	1a50	A	[]	PF00290
35280	c.79.1.1	d1a50b_	1a50	B	[]	PF00291
19296	a.123.1.1	d1a52a_	1a52	A	[]	PF00104
19297	a.123.1.1	d1a52b_	1a52	B	[]	PF00104
27181	b.60.1.2	d1a57a_	1a57	A	[]	PF00061
27495	b.62.1.1	d1a58a_	1a58	A	[]	PF00160
18902	a.103.1.1	d1a59a_	1a59	A	[]	PF00285
28576	c.1.2.4	d1a5aa_	1a5a	A	[]	PF00290
35276	c.79.1.1	d1a5ab_	1a5a	B	[]	PF00291
28575	c.1.2.4	d1a5ba_	1a5b	A	[]	PF00290
35275	c.79.1.1	d1a5bb_	1a5b	B	[]	PF00291
29148	c.1.10.1	d1a5ca_	1a5c	A	[]	PF00274
29149	c.1.10.1	d1a5cb_	1a5c	B	[]	PF00274
23614	b.11.1.1	d1a5da1	1a5d	A	['1-84']	PF00030
23615	b.11.1.1	d1a5da2	1a5d	A	['85-174']	PF00030
23616	b.11.1.1	d1a5db1	1a5d	B	['1-84']	PF00030
23617	b.11.1.1	d1a5db2	1a5d	B	['85-174']	PF00030
26331	b.47.1.2	d1a5ia_	1a5i	A	[]	PF00089
16043	a.4.1.3	d1a5ja1	1a5j	A	['1-55']	PF13921
16044	a.4.1.3	d1a5ja2	1a5j	A	['56-110']	PF13921
37343	d.8.1.1	d1a5ka_	1a5k	A	[]	PF00547
28336	b.85.3.1	d1a5kb_	1a5k	B	[]	PF00699
28425	b.92.1.1	d1a5kc1	1a5k	C	['2-129', '423-475']	PF00449
29047	c.1.9.2	d1a5kc2	1a5k	C	['130-422', '476-567']	PF00449
37344	d.8.1.1	d1a5la_	1a5l	A	[]	PF00547
28337	b.85.3.1	d1a5lb_	1a5l	B	[]	PF00699
28426	b.92.1.1	d1a5lc1	1a5l	C	['2-129', '423-475']	PF00449
29048	c.1.9.2	d1a5lc2	1a5l	C	['130-422', '476-567']	PF00449
37338	d.8.1.1	d1a5ma_	1a5m	A	[]	PF00547
28331	b.85.3.1	d1a5mb_	1a5m	B	[]	PF00699
28423	b.92.1.1	d1a5mc1	1a5m	C	['2-129', '423-475']	PF00449
29045	c.1.9.2	d1a5mc2	1a5m	C	['130-422', '476-567']	PF00449
37345	d.8.1.1	d1a5na_	1a5n	A	[]	PF00547
28338	b.85.3.1	d1a5nb_	1a5n	B	[]	PF00699
28427	b.92.1.1	d1a5nc1	1a5n	C	['2-129', '423-475']	PF00449
29049	c.1.9.2	d1a5nc2	1a5n	C	['130-422', '476-567']	PF00449
37351	d.8.1.1	d1a5oa_	1a5o	A	[]	PF00547
28344	b.85.3.1	d1a5ob_	1a5o	B	[]	PF00699
28430	b.92.1.1	d1a5oc1	1a5o	C	['2-129', '423-475']	PF00449
29052	c.1.9.2	d1a5oc2	1a5o	C	['130-422', '476-567']	PF00449
37201	d.5.1.1	d1a5pa_	1a5p	A	[]	PF00074
37258	d.5.1.1	d1a5qa_	1a5q	A	[]	PF00074
37597	d.15.1.1	d1a5ra1	1a5r	A	['1-101']	PF11976
28581	c.1.2.4	d1a5sa_	1a5s	A	[]	PF00290
35281	c.79.1.1	d1a5sb_	1a5s	B	[]	PF00291
18450	a.80.1.1	d1a5ta1	1a5t	A	['208-330']	PF13177
32423	c.37.1.20	d1a5ta2	1a5t	A	['1-207']	PF13177
27034	b.58.1.1	d1a5ua1	1a5u	A	['116-217']	PF00224
29263	c.1.12.1	d1a5ua2	1a5u	A	['12-115', '218-395']	PF00224
33117	c.49.1.1	d1a5ua3	1a5u	A	['396-530']	PF00224
27035	b.58.1.1	d1a5ub1	1a5u	B	['716-817']	PF00224
29264	c.1.12.1	d1a5ub2	1a5u	B	['612-715', '818-995']	PF00224
33118	c.49.1.1	d1a5ub3	1a5u	B	['996-1130']	PF00224
27036	b.58.1.1	d1a5uc1	1a5u	C	['1316-1417']	PF00224
29265	c.1.12.1	d1a5uc2	1a5u	C	['1212-1315', '1418-1595']	PF00224
33119	c.49.1.1	d1a5uc3	1a5u	C	['1596-1730']	PF00224
27037	b.58.1.1	d1a5ud1	1a5u	D	['1916-2017']	PF00224
29266	c.1.12.1	d1a5ud2	1a5u	D	['1812-1915', '2018-2195']	PF00224
33120	c.49.1.1	d1a5ud3	1a5u	D	['2196-2330']	PF00224
27038	b.58.1.1	d1a5ue1	1a5u	E	['3116-3217']	PF00224
29267	c.1.12.1	d1a5ue2	1a5u	E	['3012-3115', '3218-3395']	PF00224
33121	c.49.1.1	d1a5ue3	1a5u	E	['3396-3530']	PF00224
27039	b.58.1.1	d1a5uf1	1a5u	F	['3716-3817']	PF00224
29268	c.1.12.1	d1a5uf2	1a5u	F	['3612-3715', '3818-3995']	PF00224
33122	c.49.1.1	d1a5uf3	1a5u	F	['3996-4130']	PF00224
27040	b.58.1.1	d1a5ug1	1a5u	G	['4316-4417']	PF00224
29269	c.1.12.1	d1a5ug2	1a5u	G	['4212-4315', '4418-4595']	PF00224
33123	c.49.1.1	d1a5ug3	1a5u	G	['4596-4730']	PF00224
27041	b.58.1.1	d1a5uh1	1a5u	H	['4916-5017']	PF00224
29270	c.1.12.1	d1a5uh2	1a5u	H	['4812-4915', '5018-5195']	PF00224
33124	c.49.1.1	d1a5uh3	1a5u	H	['5196-5330']	PF00224
33629	c.55.3.2	d1a5va_	1a5v	A	[]	PF00665
33632	c.55.3.2	d1a5wa_	1a5w	A	[]	PF00665
33630	c.55.3.2	d1a5xa_	1a5x	A	[]	PF00665
32673	c.45.1.2	d1a5ya_	1a5y	A	[]	PF00102
30181	c.2.1.5	d1a5za1	1a5z	A	['22-163']	PF00056
42148	d.162.1.1	d1a5za2	1a5z	A	['164-333']	PF00056
64708	a.140.3.1	d1a62a1	1a62	A	['1-47']	PF07498
64709	b.40.4.5	d1a62a2	1a62	A	['48-125']	PF07498
64710	a.140.3.1	d1a63a1	1a63	A	['1-47']	PF07498
64711	b.40.4.5	d1a63a2	1a63	A	['48-130']	PF07498
19750	b.1.1.1	d1a64a_	1a64	A	[]	PF07686
19751	b.1.1.1	d1a64b_	1a64	B	[]	PF07686
23150	b.6.1.3	d1a65a3	1a65	A	['304-504']	PF07732
23149	b.6.1.3	d1a65a2	1a65	A	['132-303']	PF07732
23148	b.6.1.3	d1a65a1	1a65	A	['1-131']	PF07732
22441	b.2.5.3	d1a66a_	1a66	A	[]	PF00554
38000	d.17.1.2	d1a67a_	1a67	A	[]	PF00031
38639	d.42.1.2	d1a68a_	1a68	A	[]	PF02214
33781	c.56.2.1	d1a69a_	1a69	A	[]	PF01048
33782	c.56.2.1	d1a69b_	1a69	B	[]	PF01048
33783	c.56.2.1	d1a69c_	1a69	C	[]	PF01048
21615	b.1.1.2	d1a6aa1	1a6a	A	['82-180']	PF07654
38189	d.19.1.1	d1a6aa2	1a6a	A	['5-81']	PF07654
21616	b.1.1.2	d1a6ab1	1a6a	B	['93-191']	PF00969
38190	d.19.1.1	d1a6ab2	1a6a	B	['5-92']	PF00969
23296	b.121.4.2	d1a6ca1	1a6c	A	['1-176']	PF03689
23297	b.121.4.2	d1a6ca2	1a6c	A	['177-348']	PF03689
23298	b.121.4.2	d1a6ca3	1a6c	A	['349-513']	PF03689
19488	a.129.1.2	d1a6da1	1a6d	A	['17-145', '404-519']	PF00118
30819	c.8.5.2	d1a6da2	1a6d	A	['215-367']	PF00118
38936	d.56.1.2	d1a6da3	1a6d	A	['146-214', '368-403']	PF00118
19489	a.129.1.2	d1a6db1	1a6d	B	['20-144', '404-521']	PF00118
30820	c.8.5.2	d1a6db2	1a6d	B	['216-367']	PF00118
38937	d.56.1.2	d1a6db3	1a6d	B	['145-215', '368-403']	PF00118
19490	a.129.1.2	d1a6ea1	1a6e	A	['17-145', '404-519']	PF00118
30822	c.8.5.2	d1a6ea2	1a6e	A	['215-367']	PF00118
38938	d.56.1.2	d1a6ea3	1a6e	A	['146-214', '368-403']	PF00118
19491	a.129.1.2	d1a6eb1	1a6e	B	['20-144', '404-521']	PF00118
30823	c.8.5.2	d1a6eb2	1a6e	B	['216-367']	PF00118
38939	d.56.1.2	d1a6eb3	1a6e	B	['145-215', '368-403']	PF00118
37564	d.14.1.2	d1a6fa_	1a6f	A	[]	PF00825
15021	a.1.1.2	d1a6ga_	1a6g	A	[]	PF00042
16066	a.4.1.9	d1a6ia1	1a6i	A	['2-67']	PF00440
19243	a.121.1.1	d1a6ia2	1a6i	A	['68-208']	PF00440
40915	d.112.1.1	d1a6ja_	1a6j	A	[]	PF00359
40916	d.112.1.1	d1a6jb_	1a6j	B	[]	PF00359
15019	a.1.1.2	d1a6ka_	1a6k	A	[]	PF00042
38966	d.58.1.2	d1a6la_	1a6l	A	[]	PF00037
15018	a.1.1.2	d1a6ma_	1a6m	A	[]	PF00042
15022	a.1.1.2	d1a6na_	1a6n	A	[]	PF00042
75801	a.159.1.1	d1a6qa1	1a6q	A	['297-368']	PF00481
75802	d.219.1.1	d1a6qa2	1a6q	A	['2-296']	PF00481
37033	d.3.1.1	d1a6ra_	1a6r	A	[]	PF03051
18134	a.61.1.4	d1a6sa_	1a6s	A	[]	PF02813
20254	b.1.1.1	d1a6ul_	1a6u	L	[]	PF07686
20256	b.1.1.1	d1a6vl_	1a6v	L	[]	PF07686
20258	b.1.1.1	d1a6vm_	1a6v	M	[]	PF07686
20260	b.1.1.1	d1a6vn_	1a6v	N	[]	PF07686
20252	b.1.1.1	d1a6wl_	1a6w	L	[]	PF07686
28215	b.84.1.1	d1a6xa_	1a6x	A	[]	PF00364
20781	b.1.1.2	d1a6za1	1a6z	A	['182-275']	PF00129
38280	d.19.1.1	d1a6za2	1a6z	A	['4-181']	PF00129
20782	b.1.1.2	d1a6zb_	1a6z	B	[]	PF07654
20783	b.1.1.2	d1a6zc1	1a6z	C	['182-275']	PF00129
38281	d.19.1.1	d1a6zc2	1a6z	C	['4-181']	PF00129
20784	b.1.1.2	d1a6zd_	1a6z	D	[]	PF07654
37678	d.15.4.1	d1a70a_	1a70	A	[]	PF00111
24673	b.35.1.2	d1a71a1	1a71	A	['1-163', '340-374']	PF08240
29689	c.2.1.1	d1a71a2	1a71	A	['164-339']	PF08240
24674	b.35.1.2	d1a71b1	1a71	B	['1-163', '340-374']	PF08240
29690	c.2.1.1	d1a71b2	1a71	B	['164-339']	PF08240
24699	b.35.1.2	d1a72a1	1a72	A	['1-163', '340-374']	PF08240
29715	c.2.1.1	d1a72a2	1a72	A	['164-339']	PF08240
37145	d.4.1.3	d1a73a_	1a73	A	[]	PF05551
37146	d.4.1.3	d1a73b_	1a73	B	[]	PF05551
37155	d.4.1.3	d1a74a_	1a74	A	[]	PF05551
37156	d.4.1.3	d1a74b_	1a74	B	[]	PF05551
17216	a.39.1.4	d1a75a_	1a75	A	[]	PF13499
17217	a.39.1.4	d1a75b_	1a75	B	[]	PF13499
18091	a.60.7.1	d1a76a1	1a76	A	['209-316']	PF00752
33361	c.120.1.2	d1a76a2	1a76	A	['2-208']	PF00752
18090	a.60.7.1	d1a77a1	1a77	A	['209-316']	PF00752
33360	c.120.1.2	d1a77a2	1a77	A	['2-208']	PF00752
24212	b.29.1.3	d1a78a_	1a78	A	[]	PF00337
24213	b.29.1.3	d1a78b_	1a78	B	[]	PF00337
33340	c.52.2.1	d1a79a1	1a79	A	['83-179']	PF02778
39739	d.75.1.1	d1a79a2	1a79	A	['9-82']	PF02778
33341	c.52.2.1	d1a79b1	1a79	B	['83-179']	PF02778
39740	d.75.1.1	d1a79b2	1a79	B	['9-82']	PF02778
33342	c.52.2.1	d1a79c1	1a79	C	['83-179']	PF02778
39741	d.75.1.1	d1a79c2	1a79	C	['9-82']	PF02778
33343	c.52.2.1	d1a79d1	1a79	D	['83-179']	PF02778
39742	d.75.1.1	d1a79d2	1a79	D	['9-82']	PF02778
30104	c.2.1.4	d1a7aa1	1a7a	A	['190-352']	PF05221
31364	c.23.12.3	d1a7aa2	1a7a	A	['2-189', '353-432']	PF05221
30105	c.2.1.4	d1a7ab1	1a7a	B	['190-352']	PF05221
31365	c.23.12.3	d1a7ab2	1a7a	B	['3-189', '353-432']	PF05221
19754	b.1.1.1	d1a7ba_	1a7b	A	[]	PF07686
19755	b.1.1.1	d1a7bb_	1a7b	B	[]	PF07686
19756	b.1.1.1	d1a7bc_	1a7b	C	[]	PF07686
19757	b.1.1.1	d1a7bd_	1a7b	D	[]	PF07686
16582	a.24.4.1	d1a7da_	1a7d	A	[]	PF01814
16583	a.24.4.1	d1a7ea_	1a7e	A	[]	PF01814
39220	d.58.8.1	d1a7ge_	1a7g	E	[]	PF00511
23600	b.11.1.1	d1a7ha_	1a7h	A	[]	PF00030
23601	b.11.1.1	d1a7hb_	1a7h	B	[]	PF00030
31952	c.37.1.6	d1a7ja_	1a7j	A	[]	PF00485
30008	c.2.1.3	d1a7ka1	1a7k	A	['1-165', '335-358']	PF00044
39923	d.81.1.1	d1a7ka2	1a7k	A	['166-334']	PF00044
30009	c.2.1.3	d1a7kb1	1a7k	B	['1-165', '335-358']	PF00044
39924	d.81.1.1	d1a7kb2	1a7k	B	['166-334']	PF00044
30010	c.2.1.3	d1a7kc1	1a7k	C	['1-165', '335-358']	PF00044
39925	d.81.1.1	d1a7kc2	1a7k	C	['166-334']	PF00044
30011	c.2.1.3	d1a7kd1	1a7k	D	['1-165', '335-358']	PF00044
39926	d.81.1.1	d1a7kd2	1a7k	D	['166-334']	PF00044
35787	c.94.1.1	d1a7la_	1a7l	A	[]	PF01547
35788	c.94.1.1	d1a7lb_	1a7l	B	[]	PF01547
35789	c.94.1.1	d1a7lc_	1a7l	C	[]	PF01547
16830	a.26.1.1	d1a7ma_	1a7m	A	[]	PF01291
19941	b.1.1.1	d1a7nh_	1a7n	H	[]	PF07686
19940	b.1.1.1	d1a7nl_	1a7n	L	[]	PF07686
19943	b.1.1.1	d1a7oh_	1a7o	H	[]	PF07686
